"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"44"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"44"	"44_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"13"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"13"	"13_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"17"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"17"	"17_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"45"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"45"	"45_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_1"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC1_1"	"QC1_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_2"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC1_2"	"QC1_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_3"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC1_3"	"QC1_3.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC10_1"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC10_1"	"QC10_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC10_2"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC10_2"	"QC10_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC10_3"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC10_3"	"QC10_3.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC11"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC11"	"QC11_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC12"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC12"	"QC12_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC13"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC13"	"QC13_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC14"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC14"	"QC14_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC15"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC15"	"QC15_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC16"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC16"	"QC16_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC2_1"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC2_1"	"QC2_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC2_2"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC2_2"	"QC2_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC2_3"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC2_3"	"QC2_3.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC3"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC3"	"QC3_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC4"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC4"	"QC4_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC5"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC5"	"QC5_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC6"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC6"	"QC6_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC7"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC7"	"QC7_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC8"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC8"	"QC8_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC9_1"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC9_1"	"QC9_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC9_2"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC9_2"	"QC9_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"15"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"15"	"15_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"27"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"27"	"27_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"43"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"43"	"43_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"6"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"6"	"6_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"29"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"29"	"29_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"33"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"33"	"33_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"1"	"1_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"5"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"5"	"5_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"8"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"8"	"8_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"46"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"46"	"46_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"49"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"49"	"49_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
