"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"QC1_1"	"QC1_2"	"QC1_3"	"QC2_1"	"QC2_2"	"QC2_3"	"1"	"2"	"3"	"4"	"5"	"QC3"	"6"	"7"	"8"	"9"	"10"	"QC4"	"11"	"12"	"13"	"14"	"15"	"QC5"	"16"	"17"	"18"	"19"	"20"	"QC6"	"21"	"22"	"23"	"24"	"25"	"QC7"	"26"	"27"	"28"	"29"	"QC8"	"QC9_1"	"QC9_2"	"QC10_1"	"QC10_2"	"QC10_3"	"30"	"31"	"32"	"33"	"34"	"QC11"	"35"	"36"	"37"	"38"	"39"	"QC12"	"40"	"41"	"42"	"43"	"44"	"QC13"	"45"	"46"	"47"	"48"	"49"	"QC14"	"50"	"51"	"52"	"53"	"54"	"QC15"	"55"	"56"	"57"	"58"	"59"	"QC16"
"unknown"	""	""	""	"Unknown 20"	""	""	""	""	"500.379"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"31606625"	"35087778"	"36256937"	"35827594"	"36434752"	"36317131"	"37746029"	"28340674"	"34677804"	"33158630"	"34381375"	"37308248"	"34446255"	"30924699"	"38112346"	"32586384"	"34885262"	"36651724"	"43579607"	"35665401"	"36838747"	"37114828"	"35113120"	"37533037"	"34940719"	"36564165"	"36307085"	"41202912"	"36353724"	"37297925"	"31804919"	"33674954"	"35718909"	"39838241"	"35868988"	"37977913"	"37732187"	"40698852"	"39586269"	"35773178"	"37581425"	"36673273"	"37029126"	"36841181"	"37141902"	"36824153"	"33043534"	"32680340"	"37120316"	"34958845"	"31372629"	"36930156"	"31721698"	"42264730"	"38683669"	"39751736"	"32041228"	"37850559"	"37450249"	"34639064"	"37247461"	"36410009"	"35730462"	"37583730"	"37143450"	"33665027"	"35419181"	"37307098"	"34984056"	"38105974"	"34681472"	"37601870"	"40839342"	"32643096"	"42498862"	"38316385"	"33915395"	"36285466"	"42933767"	"41241019"	"37220501"	"38323867"
"CHEBI:26271"	"C5H9NO2"	"OC(=O)C1CCCN1"	"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)"	"Proline_1381_2TMS"	""	""	""	""	"505.129"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"1254994"	"1478772"	"1135792"	"1332812"	"1073513"	"888314"	"974381"	"1629401"	"2721986"	"2067913"	"904658"	"1278828"	"968869"	"978742"	"924352"	"2557369"	"1125470"	"1127811"	"1505202"	"2766096"	"1295277"	"1224005"	"1045828"	"1149706"	"902134"	"1033507"	"1688169"	"1133708"	"1324406"	"1003472"	"1195755"	"911881"	"1775718"	"1117908"	"1410227"	"1208818"	"937782"	"779844"	"1645687"	"928856"	"957500"	"1132588"	"1456044"	"1447277"	"1363756"	"1182729"	"1914337"	"1423448"	"2616573"	"856489"	"1801770"	"1089343"	"1532974"	"1105702"	"1832843"	"2163865"	"914936"	"936350"	"2128644"	"1859002"	"1997967"	"632481"	"1101595"	"1106266"	"1152489"	"702238"	"807197"	"1169645"	"566374"	"891989"	"1035904"	"1941410"	"1225730"	"764946"	"2738927"	"965813"	"1487895"	"1326652"	"1188573"	"2222928"	"1225118"	"1153141"
"CHEBI:26986"	"C4H9NO3"	""	""	"Threonine_1384_2TMS"	""	""	""	""	"508.329"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"1629248"	"1317156"	"1718658"	"1216371"	"1840871"	"3261740"	"132805"	"1526879"	"1361004"	"3961697"	"209765"	"1934614"	"NA"	"3420475"	"NA"	"746170"	"241524"	"1749883"	"2794625"	"1386836"	"696797"	"1233971"	"321896"	"1432507"	"2242356"	"823158"	"2677038"	"2983283"	"1042382"	"1644515"	"1558468"	"3536359"	"1357795"	"2688907"	"1440227"	"1788063"	"2804032"	"61532"	"1777921"	"398304"	"2039792"	"1236254"	"1349244"	"1251956"	"1033820"	"3034001"	"1396338"	"3617799"	"648556"	"374790"	"2134258"	"1834062"	"2804407"	"2669729"	"1976691"	"3234751"	"2510050"	"953307"	"379827"	"737343"	"685532"	"140687"	"529518"	"1527329"	"467924"	"NA"	"1627805"	"1194897"	"147083"	"1877334"	"1771875"	"1492923"	"2070234"	"4984111"	"4210755"	"1433102"	"1841662"	"813748"	"2895691"	"3247303"	"1225387"	"1151559"
"unknown"	""	""	""	"Unknown 21"	""	""	""	""	"510.579"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"114388"	"105511"	"124857"	"136535"	"143923"	"183800"	"16730"	"71965"	"58981"	"232147"	"21257"	"208745"	"29746"	"234659"	"21134"	"46671"	"37817"	"266036"	"348161"	"66849"	"73579"	"46161"	"24490"	"295596"	"411852"	"90809"	"405479"	"726011"	"403731"	"362251"	"375049"	"588836"	"153555"	"636480"	"442214"	"453792"	"629926"	"85052"	"257933"	"114261"	"506230"	"55932"	"69768"	"79369"	"81549"	"84577"	"107808"	"125057"	"38100"	"15468"	"81397"	"126698"	"183296"	"236480"	"152607"	"239008"	"189938"	"167934"	"42676"	"48213"	"48838"	"36006"	"45701"	"231790"	"49819"	"31406"	"361675"	"58520"	"31886"	"283137"	"80642"	"125993"	"679464"	"619603"	"575812"	"308459"	"541219"	"400351"	"639349"	"577151"	"498329"	"386562"
"CHEBI:17822"	"C3H7NO3"	"NC(CO)C(O)=O"	"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)"	"Serine_1408_3TMS"	""	""	""	""	"513.479"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"344894"	"489062"	"416324"	"461417"	"323888"	"267623"	"248486"	"405630"	"547504"	"973069"	"159235"	"472988"	"333120"	"485430"	"218173"	"338041"	"468589"	"358914"	"1217110"	"374899"	"533335"	"444163"	"325178"	"514064"	"744096"	"484173"	"723774"	"1107032"	"689123"	"380463"	"302118"	"534941"	"409021"	"918764"	"559683"	"405645"	"621665"	"275340"	"417370"	"316107"	"301089"	"452417"	"480832"	"488038"	"519424"	"456919"	"590950"	"747244"	"617924"	"303699"	"373946"	"375920"	"574374"	"999252"	"879021"	"654909"	"546782"	"500102"	"479773"	"370004"	"318632"	"215039"	"435770"	"434437"	"430172"	"267617"	"752266"	"379373"	"235152"	"384148"	"225078"	"309874"	"1075217"	"285898"	"746912"	"423649"	"390996"	"566005"	"1030301"	"689391"	"902396"	"484698"
"CHEBI:16199"	"CH4N2O"	"NC(N)=O"	"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)"	"Urea, N,N'-bis(trimethylsilyl)-"	""	""	""	""	"516.979"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"993885"	"1362388"	"1558689"	"1529756"	"1523388"	"1639808"	"1558538"	"971383"	"1606418"	"1647541"	"1602677"	"2158263"	"1852082"	"1122288"	"1907552"	"1431369"	"1548332"	"1882273"	"3425572"	"3113892"	"1762541"	"1881895"	"1540109"	"2251690"	"3107447"	"2023610"	"1762265"	"4355392"	"3165032"	"2111334"	"1368321"	"1504436"	"1657281"	"2749904"	"1418652"	"2484496"	"3463242"	"2600646"	"1878117"	"1986104"	"2206774"	"1609276"	"1741877"	"1781195"	"1843631"	"1860353"	"1524483"	"1161135"	"1731372"	"1685196"	"1320316"	"1890090"	"1371439"	"3206899"	"3381473"	"2444142"	"1165168"	"2030295"	"2120085"	"1667397"	"2220245"	"1465010"	"1290080"	"1981733"	"1980188"	"1654684"	"2914856"	"1968826"	"1443717"	"2117949"	"1791130"	"1870579"	"4432611"	"1565901"	"2774683"	"2075973"	"1644141"	"3222896"	"4027761"	"2465748"	"1795029"	"2160843"
"CHEBI:26986"	"C4H9NO3"	""	""	"Threonine_1411_3TMS"	""	""	""	""	"519.579"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"7516460"	"8076958"	"7484945"	"7695334"	"7209038"	"4806685"	"1632403"	"7107407"	"4849457"	"19880534"	"1946328"	"8752622"	"2322668"	"12538904"	"1777286"	"4423619"	"3170271"	"7653049"	"24648841"	"5569849"	"3053639"	"3514448"	"2078964"	"9269768"	"12585461"	"3267435"	"11646379"	"23687698"	"10616341"	"7859585"	"8407029"	"17291578"	"4430426"	"19814336"	"9641277"	"8544065"	"12829800"	"2425434"	"4678202"	"2162938"	"7248873"	"8433379"	"8611083"	"8224082"	"8740620"	"8179805"	"11667863"	"16138273"	"5256056"	"2209528"	"7414591"	"7747333"	"14528182"	"23148888"	"12892202"	"15074145"	"13242144"	"9094673"	"4894411"	"3934408"	"4540680"	"1645466"	"2814367"	"7810756"	"3060862"	"1675442"	"13557696"	"3467142"	"1921862"	"7674080"	"3302128"	"4549981"	"22917973"	"5936631"	"20047338"	"8336405"	"11262787"	"8601178"	"21761962"	"15331681"	"11869409"	"8869110"
"unknown"	""	""	""	"Unknown 22"	""	""	""	""	"526.479"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"39999088"	"40431077"	"40001399"	"38549708"	"38653960"	"38878405"	"38155293"	"37762809"	"39411204"	"38701275"	"36853208"	"38906204"	"38216352"	"36910576"	"38928957"	"38170235"	"39065100"	"38111862"	"38700029"	"38059236"	"38484799"	"39692384"	"39276662"	"38894029"	"37975261"	"39113601"	"38152361"	"38463658"	"37916942"	"37363441"	"37865355"	"37430181"	"38082231"	"38152221"	"37596548"	"39098000"	"39011012"	"38898814"	"39019889"	"36995128"	"37611600"	"37850043"	"38195055"	"37292044"	"37814894"	"36783136"	"37519001"	"37074533"	"37841912"	"37714219"	"36173981"	"37095303"	"35375726"	"36037011"	"37629266"	"36357926"	"36142280"	"37576286"	"37881935"	"37837294"	"36828931"	"12296526"	"36799163"	"37146097"	"37685045"	"37602618"	"37456213"	"38303276"	"37148478"	"37755711"	"37307266"	"36202066"	"36460818"	"37590540"	"38264780"	"37757756"	"36728113"	"36499231"	"37200408"	"37104844"	"37295408"	"37442723"
"unknown"	""	""	""	"Unknown 23"	""	""	""	""	"526.879"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"13924891"	"14127235"	"13801679"	"13440939"	"13572751"	"13613650"	"13437503"	"13236495"	"13605712"	"13268422"	"12861631"	"13361024"	"13174371"	"12969800"	"13289895"	"13069201"	"13361670"	"13019610"	"13127657"	"12989774"	"13131883"	"13422117"	"13208362"	"13254599"	"12997487"	"13219161"	"13031312"	"12854493"	"12775223"	"12670140"	"12758081"	"12656011"	"12906515"	"12742926"	"12540640"	"12924620"	"12955028"	"12866009"	"12812405"	"12244669"	"12562167"	"12943280"	"12916966"	"12626103"	"12685679"	"12486024"	"12691246"	"12527948"	"12535424"	"12691670"	"12269938"	"12600002"	"12102105"	"12267044"	"12694490"	"12225383"	"12154794"	"12605513"	"12466551"	"12650898"	"12235497"	"36603718"	"12464283"	"12504776"	"12619019"	"12587127"	"12588235"	"12708301"	"12392892"	"12477895"	"12443642"	"12293614"	"12192937"	"12502446"	"12563071"	"12608836"	"12188413"	"12163947"	"12325694"	"12190121"	"12370870"	"12433046"
"CHEBI:74110"	"C22H47N"	"CCCCCCCCCCCNCCCCCCCCCCC"	"InChI=1S/C22H47N/c1-3-5-7-9-11-13-15-17-19-21-23-22-20-18-16-14-12-10-8-6-4-2/h23H,3-22H2,1-2H3"	"di-n-Undecylamine"	""	""	""	""	"527.579"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"NA"	"NA"	"33195"	"11851"	"NA"	"36869"	"51530"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"23791"	"30611"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"22377"	"NA"	"NA"	"NA"	"NA"	"NA"	"24356"	"10561"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"17496"	"NA"	"NA"	"10230"	"NA"	"28262"	"23272"	"25448"	"NA"	"NA"	"NA"	"NA"	"11123"	"NA"	"NA"	"25060"	"24567"	"NA"	"11388"	"NA"	"39483"	"16019"	"NA"	"NA"	"NA"	"27720"	"NA"	"NA"	"15380"	"NA"	"NA"	"NA"	"9813.3"	"NA"	"NA"	"NA"	"10597"	"NA"	"NA"	"NA"
"unknown"	""	""	""	"Unknown 24"	""	""	""	""	"529.029"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"28909057"	"75151734"	"74499091"	"72956886"	"71251997"	"71770400"	"72125243"	"69946615"	"73003184"	"73811829"	"70140665"	"73368316"	"71895786"	"68770872"	"72232748"	"71427960"	"72598257"	"70710323"	"74180717"	"72928060"	"74176857"	"73544041"	"73008851"	"72939970"	"71035698"	"72826342"	"70824029"	"72401343"	"70280169"	"69345941"	"70009108"	"70132252"	"71460189"	"72388465"	"72148215"	"73183661"	"72253907"	"73230378"	"74352552"	"71553047"	"70138055"	"69674260"	"70754966"	"69854302"	"70002154"	"69427237"	"69262251"	"71113219"	"71711276"	"71711269"	"68091778"	"70267177"	"66828985"	"71638647"	"70957978"	"70649545"	"68449994"	"69832518"	"71949926"	"69350095"	"71819775"	"70770198"	"71556683"	"69930246"	"70773706"	"72019048"	"68813165"	"71423772"	"71595989"	"70369795"	"70028314"	"69090513"	"71372157"	"70192865"	"75358157"	"71018332"	"69261087"	"69123544"	"71029012"	"71278801"	"69320437"	"71766938"
"unknown"	""	""	""	"Unknown 25"	""	""	""	""	"529.579"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"75484486"	"16059131"	"15164693"	"16134837"	"14677516"	"15234471"	"14711493"	"14305074"	"14288288"	"14136082"	"14946366"	"14466837"	"15147561"	"25105099"	"14880156"	"14386919"	"13582811"	"NA"	"16137854"	"15284614"	"16080420"	"26717569"	"14041456"	"14452766"	"13489411"	"14749715"	"15270053"	"15494200"	"13249627"	"14656179"	"13647703"	"14470734"	"14207731"	"15916647"	"13403178"	"13507182"	"13374512"	"15239537"	"15535535"	"15354666"	"NA"	"14835752"	"13990222"	"14295721"	"13587805"	"14347659"	"13390011"	"13603256"	"14355143"	"14635282"	"13627068"	"14366693"	"13220490"	"15499834"	"14269216"	"14697582"	"24429287"	"13454993"	"15029716"	"13966796"	"14513240"	"14606210"	"14082916"	"13956977"	"14444695"	"14531868"	"13703128"	"13742767"	"14946778"	"13731620"	"13733435"	"14778129"	"15078638"	"13639940"	"16460609"	"14039000"	"13369907"	"13986078"	"15567099"	"15590439"	"13761768"	"13933092"
""	""	""	""	"Benzene, 1,1'-(1,1,10,10-tetramethyl-1,10-decanediyl)bis[3,4-dimethyl-"	""	""	""	""	"529.879"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"55864"	"58039"	"57217"	"58472"	"NA"	"56940"	"57377"	"44331"	"55849"	"57237"	"55136"	"61540"	"57786"	"NA"	"54102"	"52180"	"50932"	"55633"	"73436"	"63966"	"NA"	"55208"	"58528"	"61525"	"53035"	"NA"	"61933"	"72457"	"NA"	"53577"	"48544"	"52376"	"50495"	"64895"	"55835"	"57481"	"52609"	"64326"	"67209"	"NA"	"54277"	"NA"	"52695"	"54165"	"59476"	"52130"	"49471"	"53406"	"56708"	"62560"	"41538"	"57043"	"46587"	"72323"	"58343"	"NA"	"45128"	"55220"	"60885"	"46280"	"59385"	"56458"	"56812"	"57460"	"NA"	"54603"	"51093"	"54136"	"58106"	"57294"	"50597"	"58403"	"66310"	"48120"	"82296"	"53920"	"49886"	"51368"	"68350"	"67691"	"NA"	"56090"
"unknown"	""	""	""	"Unknown 26"	""	""	""	""	"530.429"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"6102734"	"6350777"	"6049391"	"5947798"	"5632322"	"5964702"	"5843336"	"4768669"	"5627499"	"6282015"	"5803295"	"6223536"	"6111897"	"5100481"	"5558374"	"4937444"	"5446610"	"6069835"	"7954425"	"6775246"	"7150029"	"5989550"	"5903900"	"6379239"	"5462038"	"6198883"	"6130924"	"7090897"	"5291443"	"5770312"	"5262757"	"5763077"	"5692549"	"6960862"	"5823835"	"6061301"	"5614264"	"6793613"	"7365789"	"6902320"	"6231503"	"5649697"	"5851888"	"5901993"	"5952389"	"5660984"	"5054724"	"5352031"	"6097466"	"6506686"	"4813742"	"6053893"	"5501694"	"7507673"	"5876652"	"7102170"	"5062118"	"5783047"	"6415406"	"4854438"	"6576609"	"6101409"	"5816342"	"6038995"	"5890476"	"5708588"	"5421629"	"5532855"	"6153575"	"5812331"	"5382455"	"6340547"	"7118453"	"5338020"	"8625607"	"5911858"	"5167999"	"5506281"	"7038475"	"7192518"	"5869689"	"5992596"
"unknown"	""	""	""	"Unknown 27"	""	""	""	""	"532.429"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"136479"	"135653"	"133357"	"159365"	"109656"	"197678"	"200841"	"75792"	"138127"	"88367"	"174100"	"136038"	"132079"	"65512"	"170627"	"137144"	"122368"	"160458"	"169518"	"NA"	"193297"	"164798"	"158770"	"127176"	"85641"	"137566"	"112488"	"114047"	"84629"	"100787"	"73965"	"75470"	"120164"	"107082"	"102642"	"113108"	"107253"	"163040"	"179142"	"138116"	"107566"	"118705"	"133143"	"134559"	"173725"	"130526"	"93772"	"71435"	"171891"	"162321"	"104493"	"155733"	"63342"	"149159"	"142374"	"133162"	"57396"	"121463"	"181443"	"126163"	"136974"	"133797"	"146258"	"155811"	"163714"	"153739"	"95964"	"173657"	"162968"	"135467"	"119311"	"168066"	"113412"	"63140"	"152305"	"125103"	"78552"	"108308"	"193529"	"138168"	"94603"	"135095"
"unknown"	""	""	""	"Unknown 28"	""	""	""	""	"533.429"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"NA"	"140194"	"NA"	"NA"	"127760"	"141949"	"NA"	"NA"	"154064"	"NA"	"149997"	"142016"	"NA"	"98387"	"143466"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"72917"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"113824"	"NA"	"NA"	"NA"	"NA"	"129362"	"178099"	"NA"	"166266"	"123758"	"122681"	"142569"	"137674"	"NA"	"139757"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"143087"	"NA"	"NA"	"154945"	"NA"	"NA"	"128302"	"NA"	"NA"	"NA"	"NA"	"144215"	"NA"	"NA"	"NA"	"187501"	"NA"	"NA"
"CHEBI:86348"	"C4H8O4"	"OCCC(O)C(O)=O"	"InChI=1S/C4H8O4/c5-2-1-3(6)4(7)8/h3,5-6H,1-2H2,(H,7,8)"	"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester"	""	""	""	""	"539.229"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"90643"	"86622"	"93854"	"87099"	"96056"	"88721"	"78118"	"64756"	"126713"	"97280"	"92362"	"103487"	"109715"	"71022"	"102935"	"80130"	"99103"	"92726"	"150782"	"129641"	"99464"	"104389"	"86841"	"102903"	"105397"	"108544"	"130612"	"135799"	"94500"	"111408"	"88340"	"84833"	"98871"	"116246"	"92841"	"118484"	"102524"	"144795"	"139092"	"121942"	"110787"	"100237"	"104332"	"93443"	"90307"	"105005"	"77045"	"71015"	"110945"	"89497"	"77108"	"90297"	"71815"	"123197"	"100611"	"140535"	"69380"	"119658"	"121184"	"101688"	"119718"	"101039"	"88277"	"110301"	"93497"	"72567"	"95017"	"97738"	"71514"	"113859"	"87498"	"107668"	"136278"	"71445"	"169714"	"111935"	"91390"	"82253"	"124315"	"142667"	"112327"	"112380"
"CHEBI:16958"	"C3H7NO2"	"NCCC(O)=O"	"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)"	"beta-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester"	""	""	""	""	"543.479"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"299868"	"251468"	"325491"	"308679"	"278050"	"278814"	"95117"	"252587"	"318292"	"640845"	"102502"	"321747"	"119222"	"679226"	"124755"	"316100"	"187011"	"297163"	"148350"	"203916"	"199805"	"209290"	"118743"	"327863"	"93190"	"215289"	"1025841"	"200596"	"158207"	"270264"	"233749"	"626895"	"350761"	"195762"	"720410"	"327927"	"157859"	"155815"	"250579"	"118231"	"280426"	"256813"	"286203"	"283099"	"289176"	"293471"	"311004"	"1138967"	"336181"	"127625"	"253149"	"297067"	"928063"	"163393"	"200670"	"895568"	"620189"	"281054"	"143792"	"206017"	"157803"	"117662"	"186652"	"288158"	"202134"	"95081"	"123187"	"135618"	"100796"	"283519"	"NA"	"236584"	"195422"	"209332"	"777181"	"289424"	"263103"	"200006"	"193477"	"733772"	"1132534"	"279272"
"CHEBI:139062"	"C12H26"	"C(CCCC(C)C)(C(C)C)CC"	"InChI=1S/C12H26/c1-6-12(11(4)5)9-7-8-10(2)3/h10-12H,6-9H2,1-5H3"	"Octane, 3-ethyl-2,7-dimethyl-"	""	""	""	""	"548.429"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"108104"	"116485"	"122337"	"120785"	"114696"	"122692"	"110261"	"109527"	"127876"	"101181"	"119879"	"133163"	"136868"	"112814"	"116196"	"108793"	"128607"	"111998"	"124235"	"111596"	"140601"	"137510"	"116468"	"128210"	"114636"	"128763"	"112241"	"115927"	"138504"	"127363"	"121444"	"120104"	"116397"	"129001"	"126389"	"123125"	"114470"	"114812"	"114874"	"111784"	"131692"	"131486"	"141782"	"115674"	"125731"	"128939"	"108253"	"99385"	"113577"	"118754"	"119889"	"133611"	"97849"	"121857"	"114548"	"108344"	"117915"	"114430"	"112628"	"135797"	"122003"	"114578"	"115573"	"118659"	"108690"	"112740"	"120235"	"112168"	"129840"	"115033"	"121978"	"124806"	"118017"	"130779"	"100196"	"116453"	"120139"	"116800"	"110653"	"95039"	"95760"	"111275"
"CHEBI:17568"	"C4H4N2O2"	"O=c1cc[nH]c(=O)[nH]1"	"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"	"Uracil_1481_2TMS"	""	""	""	""	"555.679"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"7498921"	"7605931"	"8540062"	"7762548"	"7831830"	"8546096"	"6202530"	"7241228"	"9922731"	"8716181"	"7583559"	"9108741"	"7888513"	"7043984"	"7421153"	"7836679"	"8242981"	"9017014"	"12003961"	"13475876"	"8347206"	"8610519"	"8389732"	"10484235"	"7053948"	"9244326"	"10618335"	"11512072"	"8001895"	"9314482"	"8799835"	"9236441"	"9544071"	"10800478"	"9419803"	"10677020"	"9226358"	"11162890"	"13665936"	"9764713"	"9222659"	"9156949"	"10305868"	"9716103"	"10551628"	"9675247"	"9368140"	"8972076"	"10824683"	"9071860"	"8517939"	"10473930"	"9265726"	"13111773"	"11010723"	"16210441"	"7440991"	"9836444"	"12419243"	"10277634"	"12040733"	"8658004"	"8319548"	"10655620"	"10116949"	"7316157"	"8268396"	"9570843"	"7754929"	"9976928"	"9957902"	"13089080"	"12699717"	"7965650"	"20745876"	"10441181"	"9843069"	"9400978"	"12103421"	"17365260"	"11867689"	"10130904"
"CHEBI:32927"	"C19H40"	"CCCCCCCCCCCCCCCCCCC"	"InChI=1S/C19H40/c1-3-5-7-9-11-13-15-17-19-18-16-14-12-10-8-6-4-2/h3-19H2,1-2H3"	"Nonadecane:2"	""	""	""	""	"556.479"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"1123508"	"1112608"	"1225314"	"1145821"	"1242084"	"1261355"	"1124314"	"1156515"	"1228112"	"1181519"	"1086728"	"1335120"	"1129467"	"1154089"	"1330047"	"1170341"	"1223487"	"1176395"	"1442723"	"1453277"	"1233029"	"1269126"	"1168529"	"1332378"	"1136265"	"1359033"	"1326557"	"1346311"	"1181341"	"1190627"	"1192840"	"1176987"	"1230722"	"1277449"	"1300546"	"1338855"	"1272286"	"1306997"	"1433566"	"1181339"	"1214345"	"1314436"	"1385351"	"1349041"	"1255808"	"1233308"	"1363596"	"1160880"	"1335734"	"1248325"	"1297148"	"1259260"	"1144846"	"1600143"	"1376368"	"1676793"	"1179664"	"1254613"	"1461090"	"1335858"	"1471845"	"1313762"	"1186956"	"1304986"	"1242263"	"1332662"	"1185814"	"1433558"	"1260783"	"1345152"	"1238477"	"1313525"	"1473039"	"1310451"	"1956941"	"1370200"	"1313251"	"1217954"	"1493158"	"1670593"	"1473087"	"1320498"
"CHEBI:15940"	"C6H5NO2"	"OC(=O)c1cccnc1"	"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)"	"Nicotinic acid_1493_1TMS"	""	""	""	""	"559.679"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"426854"	"470418"	"472032"	"567997"	"551625"	"494901"	"539370"	"296122"	"700078"	"548463"	"464735"	"620191"	"597754"	"425261"	"621137"	"552408"	"498691"	"557473"	"717594"	"723140"	"577368"	"602759"	"484568"	"630131"	"476886"	"505014"	"684476"	"728200"	"537470"	"562288"	"495436"	"466793"	"669591"	"568876"	"538849"	"660533"	"523178"	"698212"	"701054"	"541758"	"624218"	"523450"	"546684"	"556068"	"558273"	"536603"	"485970"	"491482"	"628397"	"528735"	"433237"	"603948"	"494574"	"686644"	"569625"	"791435"	"360049"	"599911"	"620598"	"518144"	"692879"	"490114"	"504607"	"632030"	"618097"	"452761"	"545114"	"546119"	"433961"	"590331"	"566478"	"668394"	"729684"	"460334"	"942886"	"570305"	"448492"	"562849"	"654206"	"795613"	"669322"	"676448"
